#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
KO|AKDN||HNE|35.297|32.9683|85.0|0.0|90.0|0.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|AKDN||HNN|35.297|32.9683|85.0|0.0|0.0|0.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|AKDN||HNZ|35.297|32.9683|85.0|0.0|0.0|-90.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|AKIN||HNE|35.0117|33.4662|225.0|0.0|90.0|0.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|AKIN||HNN|35.0117|33.4662|225.0|0.0|0.0|0.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|AKIN||HNZ|35.0117|33.4662|225.0|0.0|0.0|-90.0|100|79664.1|0.05|M/S**2|100.0|2008-01-01T00:00:00|
KO|EREN||HHE|35.5292|34.1742|88.0|0.0|90.0|0.0|120s,|1861500000.0|0.05|M/S|100.0|2013-10-10T00:00:00|
KO|EREN||HHN|35.5292|34.1742|88.0|0.0|0.0|0.0|120s,|1889510000.0|0.05|M/S|100.0|2013-10-10T00:00:00|
KO|EREN||HHZ|35.5292|34.1742|88.0|0.0|0.0|-90.0|120s,|1867550000.0|0.05|M/S|100.0|2013-10-10T00:00:00|
KO|LEF||BHE|35.1118|32.8433|152.0|0.0|90.0|0.0|120s,|1869050000.0|0.05|M/S|50.0|2007-03-20T00:00:00|
KO|LEF||BHN|35.1118|32.8433|152.0|0.0|0.0|0.0|120s,|1861250000.0|0.05|M/S|50.0|2007-03-20T00:00:00|
KO|LEF||BHZ|35.1118|32.8433|152.0|0.0|0.0|-90.0|120s,|1843220000.0|0.05|M/S|50.0|2007-03-20T00:00:00|
KO|LFK||HHE|35.2832|33.5337|690.0|0.0|90.0|0.0|120s,|1900740000.0|0.05|M/S|100.0|2007-03-22T00:00:00|
KO|LFK||HHN|35.2832|33.5337|690.0|0.0|0.0|0.0|120s,|1889810000.0|0.05|M/S|100.0|2007-03-22T00:00:00|
KO|LFK||HHZ|35.2832|33.5337|690.0|0.0|0.0|-90.0|120s,|1874890000.0|0.05|M/S|100.0|2007-03-22T00:00:00|
